entry_id,self_accession,parent_accession
704,JGAZ000000355,JGAS000004
704,JGAZ000000356,JGAS000004
704,JGAZ000000357,JGAS000004
704,JGAZ000000358,JGAS000004
704,JGAZ000000359,JGAS000004
704,JGAZ000000360,JGAS000004
704,JGAZ000000361,JGAS000004
704,JGAZ000000362,JGAS000004
704,JGAZ000000363,JGAS000004
704,JGAZ000000364,JGAS000004
704,JGAZ000000365,JGAS000004
704,JGAZ000000366,JGAS000004
704,JGAZ000000367,JGAS000004
704,JGAZ000000368,JGAS000004
704,JGAZ000000369,JGAS000004
704,JGAZ000000370,JGAS000004
704,JGAZ000000371,JGAS000004
704,JGAZ000000372,JGAS000004
704,JGAZ000000373,JGAS000004
704,JGAZ000000374,JGAS000004
704,JGAZ000000375,JGAS000004
704,JGAZ000000376,JGAS000004
704,JGAZ000000377,JGAS000004
704,JGAZ000000378,JGAS000004
704,JGAZ000000379,JGAS000004
704,JGAZ000000380,JGAS000004
704,JGAZ000000381,JGAS000004
705,JGAZ000000001,JGAS000006
705,JGAZ000000002,JGAS000006
705,JGAZ000000003,JGAS000006
705,JGAZ000000004,JGAS000006
705,JGAZ000000005,JGAS000006
705,JGAZ000000006,JGAS000006
705,JGAZ000000007,JGAS000006
705,JGAZ000000008,JGAS000006
705,JGAZ000000009,JGAS000006
705,JGAZ000000010,JGAS000006
705,JGAZ000000011,JGAS000006
709,JGAZ000000012,JGAS000008
711,JGAZ000000062,JGAS000016
711,JGAZ000000063,JGAS000016
711,JGAZ000000064,JGAS000016
711,JGAZ000000065,JGAS000016
711,JGAZ000000066,JGAS000016
711,JGAZ000000067,JGAS000016
711,JGAZ000000068,JGAS000016
711,JGAZ000000069,JGAS000016
711,JGAZ000000070,JGAS000016
711,JGAZ000000071,JGAS000016
711,JGAZ000000072,JGAS000016
711,JGAZ000000073,JGAS000016
711,JGAZ000000074,JGAS000016
711,JGAZ000000075,JGAS000016
711,JGAZ000000076,JGAS000016
711,JGAZ000000077,JGAS000016
711,JGAZ000000078,JGAS000016
711,JGAZ000000079,JGAS000016
711,JGAZ000000080,JGAS000016
711,JGAZ000000081,JGAS000016
711,JGAZ000000082,JGAS000016
711,JGAZ000000083,JGAS000016
711,JGAZ000000084,JGAS000016
711,JGAZ000000085,JGAS000016
711,JGAZ000000086,JGAS000016
711,JGAZ000000087,JGAS000016
711,JGAZ000000088,JGAS000016
711,JGAZ000000089,JGAS000016
711,JGAZ000000090,JGAS000016
711,JGAZ000000091,JGAS000016
714,JGAZ000000052,JGAS000015
714,JGAZ000000053,JGAS000015
714,JGAZ000000054,JGAS000015
714,JGAZ000000055,JGAS000015
714,JGAZ000000056,JGAS000015
714,JGAZ000000057,JGAS000015
714,JGAZ000000058,JGAS000015
714,JGAZ000000059,JGAS000015
714,JGAZ000000060,JGAS000015
714,JGAZ000000061,JGAS000015
717,JGAZ000002110,JGAS000018
717,JGAZ000002111,JGAS000018
717,JGAZ000002112,JGAS000018
717,JGAZ000002113,JGAS000018
717,JGAZ000002114,JGAS000018
717,JGAZ000002115,JGAS000018
717,JGAZ000002116,JGAS000018
718,JGAZ000000105,JGAS000035
718,JGAZ000000106,JGAS000035
719,JGAZ000000107,JGAS000040
719,JGAZ000000108,JGAS000040
719,JGAZ000000109,JGAS000040
720,JGAZ000000170,JGAS000061
720,JGAZ000000171,JGAS000061
720,JGAZ000000172,JGAS000061
720,JGAZ000000173,JGAS000061
720,JGAZ000000174,JGAS000061
720,JGAZ000000175,JGAS000061
720,JGAZ000000176,JGAS000061
720,JGAZ000000177,JGAS000061
720,JGAZ000000178,JGAS000061
720,JGAZ000000179,JGAS000061
720,JGAZ000000180,JGAS000061
720,JGAZ000000181,JGAS000061
720,JGAZ000000182,JGAS000061
724,JGAZ000000095,JGAS000027
726,JGAZ000000094,JGAS000026
730,JGAZ000000046,JGAS000014
730,JGAZ000000047,JGAS000014
730,JGAZ000000048,JGAS000014
730,JGAZ000000049,JGAS000014
730,JGAZ000000050,JGAS000014
730,JGAZ000000051,JGAS000014
731,JGAZ000000034,JGAS000012
735,JGAZ000000169,JGAS000057
736,JGAZ000000122,JGAS000043
737,JGAZ000000110,JGAS000041
737,JGAZ000000111,JGAS000041
737,JGAZ000000112,JGAS000041
737,JGAZ000000113,JGAS000041
737,JGAZ000000114,JGAS000041
737,JGAZ000000115,JGAS000041
737,JGAZ000000116,JGAS000041
737,JGAZ000000117,JGAS000041
737,JGAZ000000118,JGAS000041
